Class and number	v1	v2	T	T*	Lf	
I.Ai.c.50	0.0481112024	0.5584284134	61.5066511920	119.557	52
I.Ai.c.51	0.3240593189	0.3665712251	61.6980804867	146.748	60
I.Ai.c.52	0.4392326535	0.4490130778	107.1704322355	161.864	68
I.Ai.c.53	0.4157392818	0.3443683086	90.2692922120	187.114	76
I.Ai.c.54	0.2591633491	0.5655538324	112.9677142326	175.025	76
I.Ai.c.55	0.4372549674	0.4568896400	121.6765447969	180.390	76
I.Ai.c.56	0.4713347232	0.3856148608	112.7807985048	184.312	76
I.Ai.c.57	0.1538860573	0.5805527776	114.4056830978	193.146	84
I.Ai.c.58	0.4162411626	0.4666456940	130.1232036082	198.902	84
I.Ai.c.59	0.4602603277	0.4047836526	126.1735921874	202.975	84
I.Ai.c.60	0.4260682804	0.4689275280	134.8572983004	198.903	84
I.Ai.c.61	0.4115604103	0.3439515057	103.4777852547	216.720	88
I.Ai.c.62	0.4538585041	0.4151335211	138.9526711783	221.605	92
I.Ai.c.63	0.1807391308	0.5804273075	128.9311229083	211.590	92
I.Ai.c.64	0.0616295799	0.5887684684	121.2588070481	211.428	92
I.Ai.c.65	0.4164511851	0.2985460701	101.4417348354	227.296	92
I.Ai.c.66	0.4755802612	0.3834289883	143.4920831622	232.725	96
I.Ai.c.67	0.4189618506	0.3575723235	117.5497551541	235.641	96
I.Ai.c.68	0.3998065241	0.1898070007	90.3562840799	238.958	96
I.Ai.c.69	0.1938115742	0.5776286093	140.9274473884	230.040	100
I.Ai.c.70	0.4311833725	0.4733759409	164.8353415245	235.912	100
I.Ai.c.71	0.0960540551	0.5889671026	134.1667723286	229.832	100
I.Ai.c.72	0.3952890968	0.1508523182	90.5619718006	249.067	100
I.Ai.c.73	0.4395870869	0.4502293684	164.6132228870	247.429	104
I.Ai.c.74	0.3674149486	0.3838228297	119.7236640531	254.456	104
I.Ai.c.75	0.3939961214	0.3865732823	127.4002458975	254.459	104
I.Ai.c.76	0.3430511121	0.3718832371	111.6289843304	254.460	104
I.Ai.c.77	0.4159559963	0.2988672319	114.5882843578	256.902	104
I.Ai.c.78	0.4069867693	0.2365548555	103.9566166835	258.453	104
I.Ai.c.79	0.4589974678	0.4050034288	155.7660607190	251.388	104
I.Ai.c.80	0.4139140441	0.2867091579	116.5535148563	267.382	108
I.Ai.c.81	0.4379684294	0.4556963530	179.1036444528	265.955	112
I.Ai.c.82	0.4126145620	0.3435200139	131.9570363471	275.931	112
I.Ai.c.83	0.4561844518	0.4117892184	168.9508799790	270.024	112
I.Ai.c.84	0.3985475384	0.1801838327	104.3138748764	278.839	112
I.Ai.c.85	0.4126594494	0.2674571676	117.5120633437	277.786	112
I.Ai.c.86	0.3921967782	0.3732670713	137.7155574878	284.106	116
I.Ai.c.87	0.4180525186	0.2985930530	128.3273660780	286.508	116
I.Ai.c.88	0.1382080826	0.5834341742	157.3466528910	266.675	116
I.Ai.c.89	0.3974576989	0.2491169363	115.4448017793	288.116	116
I.Ai.c.90	0.0188646524	0.5900765061	151.9903843649	266.578	116
I.Ai.c.91	0.3947500473	0.1449169673	104.5346721644	288.934	116
I.Ai.c.92	0.4146876683	0.2893277049	130.1851727452	296.995	120
I.Ai.c.93	0.4049707755	0.2243966352	117.9157508493	298.378	120
I.Ai.c.94	0.4948547469	0.3816681253	195.8237684806	299.800	124
I.Ai.c.95	0.4098282065	0.4859736518	199.4325323563	291.389	124
I.Ai.c.96	0.3557656112	0.2101434426	110.1033827881	308.577	124
I.Ai.c.97	0.1458080611	0.5760627737	164.8777227366	285.109	124
I.Ai.c.98	0.4373040972	0.1890148898	125.7688001626	308.577	124
I.Ai.c.99	0.3693848766	0.2787954099	121.4331832032	307.415	124
I.Ai.c.100	0.0670760777	0.5889627892	163.9101889958	284.971	124
I.Ai.c.101	0.4024084539	0.3670928188	153.5887772816	313.740	128
I.Ai.c.102	0.4101448519	0.2545904027	131.4852184733	317.767	128
I.Ai.c.103	0.3976053675	0.1724965035	118.2740940483	318.716	128
I.Ai.c.104	0.4070387234	0.3507052842	155.3531711573	324.480	132
I.Ai.c.105	0.3654211421	0.1497581124	113.5033068728	328.800	132
I.Ai.c.106	0.3288064734	0.2480300294	116.7651488382	328.060	132
I.Ai.c.107	0.0921822548	0.5888237645	176.5993385200	303.375	132
I.Ai.c.108	0.3943552252	0.1402131694	118.5101674005	328.800	132
I.Ai.c.109	0.4164334853	0.2763211125	145.5011286545	337.039	136
I.Ai.c.110	0.4033838433	0.2143907433	131.8709942386	338.289	136
I.Ai.c.111	0.1818464802	0.5795638348	195.8266870843	321.997	140
I.Ai.c.112	0.4109222799	0.3490743143	170.4845107382	354.091	144
I.Ai.c.113	0.4159829843	0.2928634271	157.4236701613	356.215	144
I.Ai.c.114	0.3968779003	0.1661961334	132.2368607224	358.590	144
I.Ai.c.115	0.3369172422	0.2901238678	139.2379425543	366.661	148
I.Ai.c.116	0.4786094582	0.2027583452	167.5764021354	367.991	148
I.Ai.c.117	0.1262212709	0.5844212753	199.4597414280	340.210	148
I.Ai.c.118	0.3596345346	0.3768544947	165.4459242130	362.173	148
I.Ai.c.119	0.3735693647	0.3814544097	171.6871768580	362.171	148
I.Ai.c.120	0.3940559464	0.1363870337	132.4879124177	368.666	148
I.Ai.c.121	0.0398375597	0.5900216545	194.6214443391	340.118	148
I.Ai.c.122	0.3366050958	0.1545246545	122.1507473925	368.667	148
I.Ai.c.123	0.4148912516	0.3594943116	185.0089900186	372.989	152
I.Ai.c.124	0.4021066869	0.2059880758	145.8250755871	378.190	152
I.Ai.c.125	0.2984912721	0.2642719294	134.6157747992	387.392	156
I.Ai.c.126	0.3151887676	0.2026092096	129.5701866405	388.355	156
I.Ai.c.127	0.3682819786	0.0540125357	129.1627539603	388.682	156
I.Ai.c.128	0.4094064944	0.2504917575	159.2238172130	387.380	156
I.Ai.c.129	0.3963021063	0.1609272065	146.2019999818	398.462	160
I.Ai.c.130	0.4858230168	0.1897852046	186.6816128151	407.911	164
I.Ai.c.131	0.3938225013	0.1332100629	146.4674258412	408.531	164
I.Ai.c.132	0.2844202818	0.2576751665	144.7361096869	427.351	172
I.Ai.c.133	0.3613650149	0.0662137880	141.3166709722	428.547	172
I.Ai.c.134	0.4052729644	0.2262551267	173.3843818847	437.587	176
I.Ai.c.135	0.2792503345	0.2309398618	146.5213559661	447.823	180
I.Ai.c.136	0.4088863339	0.2475714173	186.9603460122	456.990	184
I.Ai.c.137	0.2755037979	0.2512907499	155.4548586490	467.296	188
I.Ai.c.138	0.3000356874	0.1954805934	152.1599660045	468.121	188
I.Ai.c.139	0.2759217512	0.2671023857	164.8956499133	486.678	196
I.Ai.c.140	0.3060236507	0.1574877923	155.4631165813	488.269	196
I.Ai.c.141	0.2738106556	0.2266665399	157.9002511121	487.729	196
I.Ai.c.142	0.2716635736	0.2803602873	173.2990630202	505.979	204
I.Ai.c.143	0.2690738475	0.2460748830	166.5414191753	507.230	204
I.Ai.c.144	0.2813047676	0.2931043691	185.0094674080	525.199	212
I.Ai.c.145	0.2844033114	0.2864772055	184.1463025888	525.201	212
I.Ai.c.146	0.3406159593	0.0878815592	176.4815564147	548.142	220
I.Ai.c.147	0.2745076841	0.2185259293	182.4778598891	567.527	228
I.Ai.c.148	0.5236560165	0.2615293843	77.5451687834	138.512	56
I.Ai.c.149	0.5252433392	0.2395323622	97.1790201428	178.571	72
I.Ai.c.150	0.2485711669	0.2285602706	62.8143378441	199.118	80
I.Ai.c.151	0.4717436769	0.4159399383	127.4097749092	191.768	80
I.Ai.c.152	0.4244996083	0.4906100936	136.0765222404	187.283	80
I.Ai.c.153	0.3303010815	0.4704859697	107.3481952603	198.916	84
I.Ai.c.154	0.2538439618	0.5599410925	121.1861154175	193.495	84
I.Ai.c.155	0.4824594978	0.3739325421	131.7096541850	214.035	88
I.Ai.c.156	0.4299480127	0.4772693278	179.4317919632	254.406	108
I.Ai.c.157	0.2242029652	0.5716643145	178.2257295831	285.417	124
I.Ai.c.158	0.4721688158	0.3825825184	189.2718322389	310.866	128
I.Ai.c.159	0.2338958736	0.5689557210	190.6014315264	303.881	132
I.Ai.c.160	0.4067612870	0.2352215102	131.6910976773	328.058	132
I.Ai.c.161	0.4664129400	0.2183545493	147.4412391934	328.060	132
I.Ai.c.162	0.1082811863	0.5839631505	185.8736775605	321.788	140
I.Ai.c.163	0.3733531828	0.0372160210	116.4750673801	348.816	140
I.Ai.c.164	0.3289795673	0.2068164036	118.9835822292	348.468	140
I.Ai.c.165	0.4000579116	0.1916547891	132.0453999094	348.465	140
I.Ai.c.166	0.4122855598	0.2657302751	159.0067612686	377.047	152
I.Ai.c.167	0.3897682267	0.3744628158	189.3994398298	391.821	160
I.Ai.c.168	0.3218496119	0.1559752782	132.7019091118	408.535	164
I.Ai.c.169	0.2959833070	0.2812516245	143.8012840531	406.693	164
I.Ai.c.170	0.4132174699	0.2698100668	172.7929755123	406.678	164
I.Ai.c.171	0.4010600790	0.1988153634	159.7793954306	418.084	168
I.Ai.c.172	0.3983719278	0.1787862095	159.9605934536	428.228	172
I.Ai.c.173	0.4134354098	0.2854601690	185.1176308487	425.893	172
I.Ai.c.174	0.4920112032	0.1412368522	190.8552755255	428.247	172
I.Ai.c.175	0.3958370784	0.1564483425	160.1693147940	438.332	176
I.Ai.c.176	0.2816607693	0.2752504513	153.9063858244	446.695	180
I.Ai.c.177	0.4155517978	0.2960847052	197.4708451315	445.039	180
I.Ai.c.178	0.3124918736	0.1567548343	143.9064578456	448.402	180
I.Ai.c.179	0.3936357530	0.1305277271	160.4482656408	448.395	180
I.Ai.c.180	0.3977453372	0.1736695550	173.9208149453	468.105	188
I.Ai.c.181	0.4065107464	0.2337325768	187.1598824391	467.267	188
I.Ai.c.182	0.3934827897	0.1282315783	174.4300043958	488.259	196
I.Ai.c.183	0.4514746238	0.0973655800	192.4707838219	488.269	196
I.Ai.c.184	0.3994542144	0.1871787471	187.6908780809	497.857	200
I.Ai.c.185	0.3466891157	0.0826041253	164.7857262001	508.277	204
I.Ai.c.186	0.3951370317	0.1492265626	188.1097039559	518.068	208
I.Ai.c.187	0.2704861637	0.2617400496	176.1949991668	526.644	212
I.Ai.c.188	0.2701991673	0.2977922273	183.6255697046	525.201	212
I.Ai.c.189	0.2719181145	0.2227169845	169.8054736884	527.630	212
I.Ai.c.190	0.3933545122	0.1262431781	188.4122024989	528.123	212
I.Bi.c.1	0.4644451728	0.3960600146	14.8943051743	24.206	10
I.Bi.c.2	0.4059155671	0.2301631260	13.8671234361	34.802	14
I.Bi.c.3	0.0833000718	0.1278892555	10.4648495256	39.644	16
I.Bi.c.4	0.0805842255	0.5888360898	21.2723373956	36.771	16
I.Bi.c.5	0.4391659182	0.4529676431	28.6692709402	42.782	18
I.Bi.c.6	0.3834435199	0.3773636946	25.8392363356	53.857	22
I.Bi.c.7	0.1862378160	0.5787138661	33.6414187604	55.204	24
I.Bi.c.8	0.4290898149	0.4753132903	42.8299661050	61.290	26
I.Bi.c.9	0.4149129608	0.2746187551	27.6646471048	64.445	26
I.Bi.c.10	0.3980444335	0.1761383334	27.8234143343	74.695	30
I.Bi.c.11	0.2302567240	0.5696545030	46.0668997027	73.662	32
I.Bi.c.12	0.4281877764	0.3550351874	42.3641397966	83.484	34
I.Bi.c.13	0.3580870041	0.4976954491	49.6315066172	79.780	34
I.Bi.c.14	0.4097171234	0.4392219554	54.0572550607	91.244	38
I.Bi.c.15	0.4143481483	0.2881031095	41.1260553556	94.063	38
I.Bi.c.16	0.2590629830	0.5643154612	59.1751946306	92.130	40
I.Bi.c.17	0.3956370780	0.1544499871	41.7884305464	114.567	46
I.Bi.c.18	0.4092519851	0.3498343142	54.3261092062	113.095	46
I.Bi.c.19	0.2776121408	0.5600955198	72.2975181708	110.601	48
I.Bi.c.20	0.4174078020	0.2932839393	54.8606819583	123.673	50
I.Bi.c.21	0.4110550483	0.4029989043	71.3849893061	131.914	54
I.Bi.c.22	0.4099321826	0.2534182814	55.3680130042	134.068	54
I.Bi.c.23	0.1287022901	0.5842440794	75.5738965721	128.730	56
I.Bi.c.24	0.4019178915	0.2047154472	55.5565256091	144.315	58
I.Bi.c.25	0.4532653563	0.4161260139	87.6578887763	139.667	58
I.Bi.c.26	0.4156793762	0.2964031093	68.0656402822	153.281	62
I.Bi.c.27	0.4805889690	0.3753996716	92.5604403814	150.759	62
I.Bi.c.28	0.4282751070	0.4640165419	98.6494595687	146.864	62
I.Bi.c.29	0.1551825144	0.5792904049	86.8760972509	147.164	64
I.Bi.c.30	0.3388749658	0.2763529104	61.2294979456	163.709	66
I.Bi.c.31	0.4124421756	0.2664662522	69.1294839452	163.708	66
I.Bi.c.32	0.3751487886	0.0241612662	54.9741990396	164.442	66
I.Bi.c.33	0.4125928452	0.3449403658	82.6214161579	172.311	70
I.Bi.c.34	0.4757948431	0.1603050376	79.9971544120	184.207	74
I.Bi.c.35	0.4141289440	0.2980760641	81.1505833629	182.888	74
I.Bi.c.36	0.3212269533	0.2046903079	62.0875306826	184.206	74
I.Bi.c.37	0.4039945439	0.3662946692	93.7855168318	191.207	78
I.Bi.c.38	0.3939323748	0.1347283909	69.7387381695	194.299	78
I.Bi.c.39	0.2904226486	0.2609195136	69.7665857553	203.687	82
I.Bi.c.40	0.4942684807	0.2201949355	98.6353340741	203.687	82
I.Bi.c.41	0.3650027028	0.0605128530	67.6506508279	204.307	82
I.Bi.c.42	0.4160188002	0.2984267206	94.7278887029	212.494	86
I.Bi.c.43	0.4032437210	0.2134855934	83.2915115056	213.925	86
I.Bi.c.44	0.2995058112	0.2924056736	80.3687190155	222.964	90
I.Bi.c.45	0.4954934838	0.1360770719	100.4005086563	224.095	90
I.Bi.c.46	0.3029165156	0.1970668629	73.2064153230	224.090	90
I.Bi.c.47	0.4105107221	0.2565879477	96.8662425654	233.329	94
I.Bi.c.48	0.3935556862	0.1293368487	83.7195247407	234.164	94
I.Bi.c.49	0.3501125857	0.0793401820	79.4749538995	244.172	98
I.Bi.c.50	0.4013534478	0.2008553668	97.2456382734	253.823	102
I.Bi.c.51	0.2666293299	0.2779915428	89.2809106554	262.991	106
I.Bi.c.52	0.2935043434	0.1914491983	84.8189274623	263.969	106
I.Bi.c.53	0.3969872473	0.1671666821	97.4321722312	263.958	106
I.Bi.c.54	0.3932974661	0.1253456024	97.7016625145	274.027	110
I.Bi.c.55	0.4030477277	0.0469627166	99.9681279479	284.035	114
I.Bi.c.56	0.4012891619	0.4985422646	68.5536700625	98.262	42
I.Bi.c.57	0.2840814898	0.5556089363	83.9820579378	129.074	56
I.Bi.c.58	0.4391638095	0.3451673262	72.9606345288	142.704	58
I.Bi.c.59	0.3945382374	0.1424370298	55.7610531376	154.434	62
I.Bi.c.60	0.4812679815	0.2803015236	93.0193545419	182.890	74
I.Bi.c.61	0.4567265227	0.4110980415	117.6542984464	188.085	78
I.Bi.c.62	0.1998578918	0.5751811878	112.6005586813	184.064	80
I.Bi.c.63	0.4731193722	0.3817523595	121.3718607541	199.175	82
I.Bi.c.64	0.4324559260	0.4468425955	125.9650168972	195.379	82
I.Bi.c.65	0.4329467422	0.4287307557	126.6430122618	206.699	86
I.Bi.c.66	0.1106525804	0.5843723566	117.2006330167	202.269	88
I.Bi.c.67	0.2160100270	0.5721577857	125.2096376354	202.524	88
I.Bi.c.68	0.4139613585	0.3600046586	109.4116313918	220.831	90
I.Bi.c.69	0.1346825430	0.5825466616	129.3971645144	220.693	96
I.Bi.c.70	0.4155669785	0.2988428103	107.8898275282	242.099	98
I.Bi.c.71	0.4601989074	0.4074300958	148.0286393030	236.501	98
I.Bi.c.72	0.4358120735	0.4591466107	157.2189925171	232.431	98
I.Bi.c.73	0.4132841481	0.2851290367	109.6943890164	252.574	102
I.Bi.c.74	0.1522366536	0.5809723053	141.6339896130	239.127	104
I.Bi.c.75	0.0426815497	0.5900333430	136.8666399610	239.002	104
I.Bi.c.76	0.4119987609	0.2643427092	110.6260549697	262.969	106
I.Bi.c.77	0.5118118742	0.2366710013	136.7985866536	262.991	106
I.Bi.c.78	0.4571979692	0.4150480887	161.5490315022	255.123	106
I.Bi.c.79	0.4079238316	0.2420300626	110.8414293129	273.286	110
I.Bi.c.80	0.4161585901	0.2988955475	121.2499818512	271.705	110
I.Bi.c.81	0.1774072601	0.5821912520	157.3853633779	257.570	112
I.Bi.c.82	0.5142298286	0.2568912491	152.2860975586	282.212	114
I.Bi.c.83	0.4039097291	0.2177564200	111.0262814993	283.532	114
I.Bi.c.84	0.4445769891	0.4487033431	188.8772873282	280.945	118
I.Bi.c.85	0.3999556835	0.1909060542	111.2008319293	293.712	118
I.Bi.c.86	0.4133120318	0.2701767161	124.4101367285	292.601	118
I.Bi.c.87	0.1066778795	0.5948382311	165.7269258467	275.811	120
I.Bi.c.88	0.4158199333	0.2990314521	134.3908162915	301.310	122
I.Bi.c.89	0.3985640110	0.3698314086	145.9028456537	298.924	122
I.Bi.c.90	0.4094842993	0.2509272653	124.6052699892	302.943	122
I.Bi.c.91	0.5128091369	0.2180249116	154.2378088693	302.976	122
I.Bi.c.92	0.3962177869	0.1601311749	111.3973050444	303.830	122
I.Bi.c.93	0.4149780095	0.2904029941	136.9824352416	311.800	126
I.Bi.c.94	0.4540683260	0.4147166692	190.2328210125	303.544	126
I.Bi.c.95	0.4035798187	0.3517272858	147.4168577881	309.675	126
I.Bi.c.96	0.3931011977	0.1222707697	111.6831379999	313.891	126
I.Bi.c.97	0.1229330287	0.5846239911	172.1857297973	294.229	128
I.Bi.c.98	0.2584123338	0.2319416805	103.4515732794	323.470	130
I.Bi.c.99	0.4023586867	0.2076743922	124.9805591011	323.435	130
I.Bi.c.100	0.3989023581	0.0587531871	113.4691210308	323.898	130
I.Bi.c.101	0.4367428362	0.3606385790	172.3247110027	328.554	134
I.Bi.c.102	0.4784306757	0.3771895698	199.5148149879	325.727	134
I.Bi.c.103	0.4064178832	0.3648162353	161.5522956612	328.554	134
I.Bi.c.104	0.1395147893	0.5832722105	184.5789530252	312.657	136
I.Bi.c.105	0.0532000567	0.5910456775	180.2118985604	312.544	136
I.Bi.c.106	0.4155474891	0.2921682541	150.5786020101	341.411	138
I.Bi.c.107	0.4075222377	0.2396965085	138.5765198727	342.892	138
I.Bi.c.108	0.3451744845	0.3808525684	155.6845054611	347.340	142
I.Bi.c.109	0.4043102769	0.2202849054	138.7609319540	353.138	142
I.Bi.c.110	0.4218640175	0.2770211780	153.8442992753	351.850	142
I.Bi.c.111	0.3929297393	0.1198339408	125.6607884377	353.754	142
I.Bi.c.112	0.1502500844	0.5819772796	196.4574240736	331.091	144
I.Bi.c.113	0.2563482201	0.2261374828	115.3093440018	363.373	146
I.Bi.c.114	0.4122588665	0.3610576585	177.1374986605	358.178	146
I.Bi.c.115	0.4011284717	0.1992930016	138.9348056259	363.330	146
I.Bi.c.116	0.3970105843	0.0653064641	127.2370563374	363.762	146
I.Bi.c.117	0.4123635119	0.3484019438	177.9654310661	368.895	150
I.Bi.c.118	0.0148838157	0.5682653432	184.4789881904	349.319	152
I.Bi.c.119	0.2606923122	0.2911653502	130.7643465810	381.509	154
I.Bi.c.120	0.4178518268	0.3580393477	193.1285092053	387.799	158
I.Bi.c.121	0.4127521388	0.2678683319	165.8951639982	391.863	158
I.Bi.c.122	0.4030019190	0.2119143431	152.7155517041	393.045	158
I.Bi.c.123	0.3927437429	0.1178691817	139.6277439076	393.618	158
I.Bi.c.124	0.4147362902	0.2949369415	177.1359109432	400.628	162
I.Bi.c.125	0.3193090588	0.1018501668	126.8823101525	403.634	162
I.Bi.c.126	0.4001323444	0.1921976871	152.8899791889	403.219	162
I.Bi.c.127	0.4129154675	0.2844468071	178.2176770073	411.086	166
I.Bi.c.128	0.3973680105	0.1704797689	153.0783295506	413.348	166
I.Bi.c.129	0.4072545124	0.2381300512	166.3113175694	412.498	166
I.Bi.c.130	0.4045775130	0.2219569575	166.4954609423	422.743	170
I.Bi.c.131	0.3948281582	0.1458085489	153.3085182072	423.435	170
I.Bi.c.132	0.4108695302	0.2585197447	179.8624087934	431.850	174
I.Bi.c.133	0.3924554987	0.1162941173	153.5622330784	433.481	174
I.Bi.c.134	0.4083876444	0.2446989126	180.0795834157	442.161	178
I.Bi.c.135	0.3952920978	0.0730045437	155.0210535632	443.488	178
I.Bi.c.136	0.4116924345	0.2628122619	193.6216330479	461.490	186
I.Bi.c.137	0.3445561301	0.2603927098	174.5534838128	471.819	190
I.Bi.c.138	0.4010075001	0.1984472605	180.6239886836	472.838	190
I.Bi.c.139	0.3493341960	0.2098620100	166.9519921840	472.839	190
I.Bi.c.140	0.3915508594	0.1152445699	167.3247662290	473.344	190
I.Bi.c.141	0.3986254119	0.1807988654	180.8044298919	482.984	194
I.Bi.c.142	0.4336920022	0.1476782466	192.7791207202	493.094	198
I.Bi.c.143	0.3963541512	0.1614152259	181.0067311093	493.093	198
I.Bi.c.144	0.4024848426	0.2085131141	194.4045903694	502.556	202
I.Bi.c.145	0.3942996878	0.1395218939	181.2594734783	503.167	202
I.Bi.c.146	0.3190182619	0.2561011852	181.2227405768	511.775	206
I.Bi.c.147	0.3321031966	0.2075124897	175.9799936209	512.730	206
I.Bi.c.148	0.4002334723	0.1929322974	194.5791562365	512.726	206
I.Bi.c.149	0.3941006143	0.1369745839	195.2372295764	543.032	218
I.Bi.c.150	0.3135653929	0.2823975233	199.6963199692	550.395	222
I.Bi.c.151	0.3028596325	0.2513678491	190.0141857350	551.721	222
I.Bi.c.152	0.3448466385	0.1310471303	182.8204654697	553.071	222
I.Bi.c.153	0.3016985230	0.2653178570	199.5506880072	571.096	230
I.Bi.c.154	0.2998118429	0.2294251194	191.7840057235	572.180	230
I.Bi.c.155	0.3310536467	0.1351316515	192.5759642513	592.936	238
I.Bi.c.156	0.3980393062	0.5038904789	82.2493251383	116.742	50
I.Bi.c.157	0.2952861660	0.5534590851	97.3499809159	147.548	64
I.Bi.c.158	0.4798380897	0.4113090190	106.5560380694	158.258	66
I.Bi.c.159	0.4137787743	0.3437200842	111.0557458846	231.523	94
I.Bi.c.160	0.3682877800	0.3998940275	116.9320547074	239.621	98
I.Bi.c.161	0.4646477988	0.3883460870	149.4861493038	247.589	102
I.Bi.c.162	0.4031162525	0.4617331826	155.9939695150	250.938	106
I.Bi.c.163	0.4238959747	0.4719118617	170.7096365279	250.941	106
I.Bi.c.164	0.4207783634	0.4487423577	176.2188318361	280.945	118
I.Bi.c.165	0.4554244658	0.4087724748	176.4254157280	284.916	118
I.Bi.c.166	0.5090827977	0.1065690769	138.5002592220	303.862	122
I.Bi.c.167	0.3988858353	0.1828353597	125.1579036819	333.594	134
I.Bi.c.168	0.4107436209	0.2578452663	138.3643307774	332.590	134
I.Bi.c.169	0.5114846883	0.1521301286	172.1153250253	363.374	146
I.Bi.c.170	0.4088301474	0.2472647559	152.3413800632	372.553	150
I.Bi.c.171	0.3611442582	0.3727080944	171.2956907056	377.002	154
I.Bi.c.172	0.2815716369	0.1833006566	120.7209378107	383.594	154
I.Bi.c.173	0.3951862673	0.1497568031	139.3358032464	383.568	154
I.Bi.c.174	0.4158315105	0.3472324558	193.3502089464	398.504	162
I.Bi.c.175	0.4137016788	0.2715755177	179.7068265589	421.492	170
I.Bi.c.176	0.4153946800	0.2957299894	190.7321992213	430.236	174
I.Bi.c.177	0.3993116206	0.1861014901	166.8464696440	443.103	178
I.Bi.c.178	0.4138089784	0.2864083402	191.9755354947	440.701	178
I.Bi.c.179	0.3968143060	0.1656275217	167.0415888648	453.221	182
I.Bi.c.180	0.4034485563	0.2148073995	180.4504761328	462.653	186
I.Bi.c.181	0.4093563853	0.2502114533	193.8423157244	471.817	190
I.Bi.c.182	0.4443735176	0.1849048718	194.9787589138	472.839	190
I.Bi.c.183	0.3948446667	0.0755442635	168.9641243034	483.351	194
I.Bi.c.184	0.3520864423	0.1736619942	169.5279904498	493.094	198
I.Bi.c.185	0.3288872593	0.2366097357	173.0921124629	492.352	198
I.Bi.c.186	0.3691268433	0.1230538137	175.3859687881	513.207	206
I.Bi.c.187	0.3945254084	0.0775864607	182.9237531924	523.214	210
